title,author,publisher,publishedAt,image,isbn
레트로의 유니티 게임 프로그래밍 에센스(소문난 명강의),이제민,한빛미디어,2019-02-20,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F4878358%3Ftimestamp%3D20210706195050,9791162241516
운영체제(개정판 3판)(IT Cookbook 202),구현회,한빛아카데미,2016-06-30,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1570440%3Ftimestamp%3D20210702152552,9791156642459
처음 시작하는 파이썬(2판),빌 루바노빅,한빛미디어,2020-08-24,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5447694%3Ftimestamp%3D20210706194129,9791162243336
Do it! 점프 투 파이썬,박응용,이지스퍼블리싱,2019-06-20,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F4977247%3Ftimestamp%3D20210706195129,9791163030911
Game Engine Architecture,Jason Gregory,.,2015-01-01,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F3239231%3Ftimestamp%3D20190219005130,9781466560017
Do it! 점프 투 파이썬,박응용,이지스퍼블리싱,2019-06-20,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F4977247%3Ftimestamp%3D20210706195129,9791163030911
Do it! 점프 투 파이썬,박응용,이지스퍼블리싱,2016-03-03,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1481287%3Ftimestamp%3D20210402150811,9788997390915
두근두근 파이썬,천인국,생능출판,2017-01-16,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F961298%3Ftimestamp%3D20210706193855,9788970508931
게임서비스와 법,김윤명,경인문화사,2014-06-20,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F619302%3Ftimestamp%3D20210108142911,9788949910246
인공지능 비즈니스 트렌드,테크니들,와이즈맵,2019-07-10,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F4990001%3Ftimestamp%3D20210702154254,9791189328160
소프트웨어 장인(로버트 C. 마틴 시리즈),산드로 만쿠소,길벗,2015-09-25,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1633934%3Ftimestamp%3D20210706193409,9791186659489
파이썬으로 시작하는 컴퓨터 과학 입문,존 M 젤,인사이트,2017-08-18,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F927069%3Ftimestamp%3D20210611141702,9788966264087
조엘 온 소프트웨어,조엘 스폴스키,에이콘출판,2005-04-15,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1312625%3Ftimestamp%3D20210706191159,9788989975588
코딩 인터뷰 완전 분석,게일 라크만 맥도웰,인사이트,2012-08-20,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F927012%3Ftimestamp%3D20210706192937,9788966260485
조엘 온 소프트웨어,조엘 스폴스키,에이콘출판,2005-04-15,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1312625%3Ftimestamp%3D20210706191159,9788989975588
게임 엔진 블랙 북: 울펜슈타인 3D,파비앙 상글라르,한빛미디어,2020-10-30,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5501874%3Ftimestamp%3D20210702152919,9791162243299
스위프트 프로그래밍: Swift 5(3판),야곰,한빛미디어,2019-10-01,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5081102%3Ftimestamp%3D20210706194429,9791162242223
아프니까 청춘이다,김난도,쌤앤파커스,2010-12-24,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F918576%3Ftimestamp%3D20210706192719,9788965700036
스위프트 프로그래밍: Swift 5(3판),야곰,한빛미디어,2019-10-01,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5081102%3Ftimestamp%3D20210706194429,9791162242223
Do it! 웹 사이트 기획 입문,이정원,이지스퍼블리싱,2017-08-29,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1639117%3Ftimestamp%3D20210706193435,9791187370987
스위프트 프로그래밍: Swift 5(3판),야곰,한빛미디어,2019-10-01,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5081102%3Ftimestamp%3D20210706194429,9791162242223
우지은의 힐링 보이스,우지은,더블유북스,2020-04-30,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5367327%3Ftimestamp%3D20210706194034,9791197028885
클라이언트-서버 웹 앱 만들기,캐지미어 새터노스,한빛미디어,2014-10-30,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F945183%3Ftimestamp%3D20210103150009,9788968481345
모던 자바스크립트 Deep Dive(위키북스 프로그래밍 & 프랙티스 시리즈 26),이웅모,위키북스,2020-09-25,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5477653%3Ftimestamp%3D20210706194027,9791158392239
스윗한 SwiftUI,이봉원,비제이퍼블릭,2020-04-17,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5340327%3Ftimestamp%3D20210705180431,9791190014816
